Global Category Tree Look - Up,,,,,
,,,,,
Division,Loadsheet/Department,Main Category,Lowest Category,Minimum Required Images,Required Compliance Certificate,Division_ZH,Department_ZH,Main_ZH,Lowest_ZH
Consumables,Health,Health Care (16782),DNA Ancestry Tests (30502),1,,耗材,健康,保健护理,DNA祖先测试
Consumables,Health,Health Care (16782),Ear Device Maintenance (30845),1,,耗材,健康,保健护理,耳部设备维护
Consumables,Health,Health Care (16782),Ear Devices (16828),1,,耗材,健康,保健护理,耳部设备
Consumables,Health,Health Care (16782),Empty Capsules (30772),1,,耗材,健康,保健护理,空胶囊
Consumables,Health,Health Care (16782),Enema Kits & Accessories (30753),1,,耗材,健康,保健护理,灌肠套装及配件
Consumables,Health,Health Care (16782),First Aid->Antiseptics & Cleaning Supplies (16812),2,,耗材,健康,保健护理,急救->消毒和清洁用品
Consumables,Health,Health Care (16782),First Aid->Burns & Blisters (21551),2,,耗材,健康,保健护理,急救->烧伤和水泡
Consumables,Health,Health Care (16782),First Aid->Cotton Wool & Swabs (21552),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,急救->棉絮和棉签
Consumables,Health,Health Care (16782),First Aid->Equipment (21553),1,,耗材,健康,保健护理,急救->设备
Consumables,Health,Health Care (16782),First Aid->First Aid Kits (16815),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,急救->急救包
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Gloves (30426),2,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,急救->手套和口罩->手套
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Cloth Masks (30429),1,,耗材,健康,保健护理,急救->手套和口罩->口罩->布口罩
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Mask Accessories (30688),1,,耗材,健康,保健护理,急救->手套和口罩->口罩->口罩配件
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Medical Masks (30428),2,,耗材,健康,保健护理,急救->手套和口罩->口罩->医用口罩
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Heat Rubs (16817),2,,耗材,健康,保健护理,急救->热冷疗法->热敷膏
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Heating Pads (16818),2,,耗材,健康,保健护理,急救->热冷疗法->加热垫
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Ice Packs (16819),1,,耗材,健康,保健护理,急救->热冷疗法->冰袋
Consumables,Health,Health Care (16782),First Aid->Insect Repellent (21555),2,,耗材,健康,保健护理,急救->驱虫剂
Consumables,Health,Health Care (16782),First Aid->Itch & Rash (21556),2,,耗材,健康,保健护理,急救->止痒和皮疹
Consumables,Health,Health Care (16782),First Aid->Lice & Worms (21557),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),First Aid->Medical Tape & Bandages (16820),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Amino Acids (22419),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Creatine (16826),2,R638  - Food Safety,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Endurance (20121),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Energy (22478),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Mass Builders (20138),2,R638  - Food Safety,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Pre-Workout (20119),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Recovery & Supplements (21672),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Slimming (20120),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Supplement Shakers & Accessories (19926),1,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Allergies & Sinus (21610),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Antioxidants (21611),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Bones & Joint Health (21612),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Children (21613),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Cleansing & Detox (21614),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),"Fitness & Nutrition->Vitamins & Supplements->Colds, Coughs & Flu (21615)",2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Diabetes (21619),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Digestion (21620),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Energy & Tonics (21622),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Eye & Ear Care (21631),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),"Fitness & Nutrition->Vitamins & Supplements->Hair, Skin & Nails (21632)",2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Heart Health (21633),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Immune Support (21634),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mens Health (21635),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mind & Memory (21636),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mood & Anxiety Support (21637),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Multivitamins (21606),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Nutraceuticals (21641),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Omega & Essential Fatty Acids (20115),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Pregnancy Support (21607),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Probiotics (21608),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Protein Supplements (22423),2,R638  - Food Safety,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Sleep Aids (21638),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Vitamins & Minerals->Minerals (21605),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Vitamins A-E (21609),2,,耗材,健康,保健护理,
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Weight Loss (21639),2,,耗材,健康,保健护理,
