Global Category Tree Look - Up,,,,,
,,,,,
Division,Loadsheet/Department,Main Category,Lowest Category,Minimum Required Images,Required Compliance Certificate,Division_ZH,Department_ZH,Main_ZH,Lowest_ZH
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Medical Masks (30428),2,,耗材,健康,保健护理,医用口罩
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Heat Rubs (16817),2,,耗材,健康,保健护理,热敷药膏
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Heating Pads (16818),2,,耗材,健康,保健护理,加热垫
Consumables,Health,Health Care (16782),First Aid->Hot & Cold Therapies->Ice Packs (16819),1,,耗材,健康,保健护理,冰袋
Consumables,Health,Health Care (16782),First Aid->Insect Repellent (21555),2,,耗材,健康,保健护理,驱虫剂
Consumables,Health,Health Care (16782),First Aid->Itch & Rash (21556),2,,耗材,健康,保健护理,止痒及皮疹护理
Consumables,Health,Health Care (16782),First Aid->Lice & Worms (21557),2,,耗材,健康,保健护理,除虱及驱虫
Consumables,Health,Health Care (16782),First Aid->Medical Tape & Bandages (16820),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,医用胶带和绷带
Consumables,Health,Health Care (16782),Fitness & Nutrition->Amino Acids (22419),2,,耗材,健康,保健护理,氨基酸
Consumables,Health,Health Care (16782),Fitness & Nutrition->Creatine (16826),2,R638  - Food Safety,耗材,健康,保健护理,肌酸
Consumables,Health,Health Care (16782),Fitness & Nutrition->Endurance (20121),2,,耗材,健康,保健护理,耐力增强
Consumables,Health,Health Care (16782),Fitness & Nutrition->Energy (22478),2,,耗材,健康,保健护理,能量补充
Consumables,Health,Health Care (16782),Fitness & Nutrition->Mass Builders (20138),2,R638  - Food Safety,耗材,健康,保健护理,增肌增重
Consumables,Health,Health Care (16782),Fitness & Nutrition->Pre-Workout (20119),2,,耗材,健康,保健护理,训练前补剂
Consumables,Health,Health Care (16782),Fitness & Nutrition->Recovery & Supplements (21672),2,,耗材,健康,保健护理,恢复及营养补充
Consumables,Health,Health Care (16782),Fitness & Nutrition->Slimming (20120),2,,耗材,健康,保健护理,减肥瘦身
Consumables,Health,Health Care (16782),Fitness & Nutrition->Supplement Shakers & Accessories (19926),1,,耗材,健康,保健护理,营养摇摇杯及配件
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Allergies & Sinus (21610),2,,耗材,健康,保健护理,过敏及鼻窦保健
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Antioxidants (21611),2,,耗材,健康,保健护理,抗氧化剂
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Bones & Joint Health (21612),2,,耗材,健康,保健护理,骨骼与关节健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Children (21613),2,,耗材,健康,保健护理,儿童营养
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Cleansing & Detox (21614),2,,耗材,健康,保健护理,排毒净化
Consumables,Health,Health Care (16782),"Fitness & Nutrition->Vitamins & Supplements->Colds, Coughs & Flu (21615)",2,,耗材,健康,保健护理,感冒咳嗽及流感
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Diabetes (21619),2,,耗材,健康,保健护理,糖尿病营养
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Digestion (21620),2,,耗材,健康,保健护理,消化健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Energy & Tonics (21622),2,,耗材,健康,保健护理,能量及滋补
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Eye & Ear Care (21631),2,,耗材,健康,保健护理,眼耳护理
Consumables,Health,Health Care (16782),"Fitness & Nutrition->Vitamins & Supplements->Hair, Skin & Nails (21632)",2,,耗材,健康,保健护理,头发皮肤及指甲健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Heart Health (21633),2,,耗材,健康,保健护理,心脏健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Immune Support (21634),2,,耗材,健康,保健护理,免疫力支持
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mens Health (21635),2,,耗材,健康,保健护理,男性健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mind & Memory (21636),2,,耗材,健康,保健护理,脑力与记忆
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Mood & Anxiety Support (21637),2,,耗材,健康,保健护理,情绪及焦虑缓解
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Multivitamins (21606),2,,耗材,健康,保健护理,多种维生素
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Nutraceuticals (21641),2,,耗材,健康,保健护理,营养保健品
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Omega & Essential Fatty Acids (20115),2,,耗材,健康,保健护理,Omega及必需脂肪酸
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Pregnancy Support (21607),2,,耗材,健康,保健护理,孕期营养支持
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Probiotics (21608),2,,耗材,健康,保健护理,益生菌
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Protein Supplements (22423),2,R638  - Food Safety,耗材,健康,保健护理,蛋白质补剂
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Sleep Aids (21638),2,,耗材,健康,保健护理,助眠产品
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Vitamins & Minerals->Minerals (21605),2,,耗材,健康,保健护理,矿物质
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Vitamins A-E (21609),2,,耗材,健康,保健护理,维生素A-E
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Weight Loss (21639),2,,耗材,健康,保健护理,减重
Consumables,Health,Health Care (16782),Fitness & Nutrition->Vitamins & Supplements->Womens Health (21640),2,,耗材,健康,保健护理,女性健康
Consumables,Health,Health Care (16782),Fitness & Nutrition->Whey Protein Powder (20137),2,R638  - Food Safety,耗材,健康,保健护理,乳清蛋白粉
Consumables,Health,Health Care (16782),Hair Care (30609),1,,耗材,健康,保健护理,护发
Consumables,Health,Health Care (16782),Health Food->Baking (21558),2,R638  - Food Safety,耗材,健康,保健护理,烘焙
Consumables,Health,Health Care (16782),Health Food->Breakfast (21559),2,R638  - Food Safety,耗材,健康,保健护理,早餐食品
Consumables,Health,Health Care (16782),Health Food->Drinks & Shakes (21560),2,R638  - Food Safety,耗材,健康,保健护理,饮料及奶昔
Consumables,Health,Health Care (16782),Health Food->Grains & Legumes (21561),2,R638  - Food Safety,耗材,健康,保健护理,谷物和豆类
Consumables,Health,Health Care (16782),Health Food->Herbs & Spices (21562),2,R638  - Food Safety,耗材,健康,保健护理,香草及香料
Consumables,Health,Health Care (16782),Health Food->Honey & Spreads (21563),2,R638  - Food Safety,耗材,健康,保健护理,蜂蜜及涂抹酱
Consumables,Health,Health Care (16782),Health Food->Kits (28423),2,R638  - Food Safety,耗材,健康,保健护理,套装
Consumables,Health,Health Care (16782),Health Food->Meal Kits & Ready To Be Made (30417),2,R638  - Food Safety,耗材,健康,保健护理,餐食套装及即烹食品
Consumables,Health,Health Care (16782),Health Food->Nuts & Seeds (21564),2,R638  - Food Safety,耗材,健康,保健护理,坚果和种子
Consumables,Health,Health Care (16782),Health Food->Oil & Salad Dressings (21565),2,R638  - Food Safety,耗材,健康,保健护理,食用油及沙拉酱
Consumables,Health,Health Care (16782),Health Food->Relishes & Condiments (21566),2,R638  - Food Safety,耗材,健康,保健护理,酱料及调味品
Consumables,Health,Health Care (16782),Health Food->Snacks (21568),2,R638  - Food Safety,耗材,健康,保健护理,零食
Consumables,Health,Health Care (16782),Health Food->Soups & Sauces (21569),2,R638  - Food Safety,耗材,健康,保健护理,汤品及酱汁
Consumables,Health,Health Care (16782),Health Food->Specialised Nutrition (21570),2,R638  - Food Safety,耗材,健康,保健护理,特殊营养食品
Consumables,Health,Health Care (16782),Health Food->Superfoods (21571),2,R638  - Food Safety,耗材,健康,保健护理,超级食物
Consumables,Health,Health Care (16782),Health Food->Sweeteners (21572),2,R638  - Food Safety,耗材,健康,保健护理,甜味剂
Consumables,Health,Health Care (16782),Health Monitors->Lancets (30725),1,,耗材,健康,保健护理,采血针
Consumables,Health,Health Care (16782),Health Monitors->Peak Flow Meters (30726),1,,耗材,健康,保健护理,峰流量仪
Consumables,Health,Health Care (16782),"Humidifiers,Purifiers & Diffusers (23043)",1,,耗材,健康,保健护理,加湿器、净化器及香薰扩香仪
Consumables,Health,Health Care (16782),Incontinence Pads (16829),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,失禁护理垫
Consumables,Health,Health Care (16782),Inserts & Soles (30288),1,,耗材,健康,保健护理,鞋垫及垫片
Consumables,Health,Health Care (16782),Intense Pulsed Light Wrinkle Reducing Devices (30875),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,强脉冲光祛皱仪
Consumables,Health,Health Care (16782),Massagers (17044),1,,耗材,健康,保健护理,按摩器
Consumables,Health,Health Care (16782),Medical Binders & Bras (30962),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,医用束腹带及胸罩
Consumables,Health,Health Care (16782),Medical Coolers (30942),1,,耗材,健康,保健护理,医用冷藏箱
Consumables,Health,Health Care (16782),Medical Mattresses (30858),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,医用床垫
Consumables,Health,Health Care (16782),Medical Orthopaedic Knee Braces (30964),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,医用矫形护膝
Consumables,Health,Health Care (16782),Medical Socks (30760),1,,耗材,健康,保健护理,医用弹力袜
Consumables,Health,Health Care (16782),Medical Stadiometers (30928),3,,耗材,健康,保健护理,医用身高仪
Consumables,Health,Health Care (16782),Medical Tape Measures (30927),3,,耗材,健康,保健护理,医用量带
Consumables,Health,Health Care (16782),Medical Tests->Allergy Test Kits (16834),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,过敏测试套装
Consumables,Health,Health Care (16782),Medical Tests->Drug Tests (16836),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,药物检测套装
Consumables,Health,Health Care (16782),Medical Tests->Hormone Test Kits (30728),1,,耗材,健康,保健护理,激素检测套装
Consumables,Health,Health Care (16782),Medical Tests->Ovulation Kits (30727),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,排卵测试套装
Consumables,Health,Health Care (16782),Medical Tests->Pregnancy Tests (16838),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,早孕测试套装
Consumables,Health,Health Care (16782),Medical Tests->Thyroid Test Kits (30730),1,,耗材,健康,保健护理,甲状腺检测套装
Consumables,Health,Health Care (16782),Medical Tests->Urinary Tract Infection Tests (16839),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,泌尿道感染检测套装
Consumables,Health,Health Care (16782),Medical Tests->Urine Tests (23259),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,尿液检测套装
Consumables,Health,Health Care (16782),Medical Tests->Vaginal PH Level Test Kits (30729),1,,耗材,健康,保健护理,阴道pH测试套装
Consumables,Health,Health Care (16782),Medication Dispensers (30783),1,,耗材,健康,保健护理,药品分配器
Consumables,Health,Health Care (16782),Medicine & Treatments->Allergies & Sinus (20122),2,,耗材,健康,保健护理,过敏及鼻窦用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Aromatherapy (20128),2,,耗材,健康,保健护理,芳香疗法
Consumables,Health,Health Care (16782),"Medicine & Treatments->Colds, Coughs & Flu (20123)",2,,耗材,健康,保健护理,感冒咳嗽及流感用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Digestion & Nausea (20124),2,,耗材,健康,保健护理,消化及恶心用药
Consumables,Health,Health Care (16782),"Medicine & Treatments->Hair, Skin & Nails (20129)",2,,耗材,健康,保健护理,头发皮肤及指甲护理
Consumables,Health,Health Care (16782),Medicine & Treatments->Immune Support (23098),2,,耗材,健康,保健护理,免疫力支持用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Infection Support (23058),2,,耗材,健康,保健护理,感染防治用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Inflammation (20133),2,,耗材,健康,保健护理,抗炎用药
Consumables,Health,Health Care (16782),"Medicine & Treatments->Muscles, Bones & Joints (20130)",2,,耗材,健康,保健护理,肌肉骨骼及关节用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Pain & Fever (20125),2,,耗材,健康,保健护理,止痛退烧用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Pregnancy & Babies (20131),2,,耗材,健康,保健护理,孕产及婴儿用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Quit Smoking (20132),2,,耗材,健康,保健护理,戒烟用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Skin Conditions & Nappy Rash (20127),2,,耗材,健康,保健护理,皮肤问题及尿布疹用药
Consumables,Health,Health Care (16782),Medicine & Treatments->Sleep (22401),2,,耗材,健康,保健护理,助眠用药
Consumables,Health,Health Care (16782),Mobility & Accessibility->Accessibility Equipment Accessories (16847),1,,耗材,健康,保健护理,无障碍设备配件
Consumables,Health,Health Care (16782),Mobility & Accessibility->Accessibility Equipment->Wheelchairs (16846),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,轮椅
Consumables,Health,Health Care (16782),Mobility & Accessibility->Accessibility Furniture & Fixtures->Bathroom & Toilet Aids (21652),1,,耗材,健康,保健护理,浴室及如厕辅助用品
Consumables,Health,Health Care (16782),Mobility & Accessibility->Accessibility Furniture & Fixtures->Furniture Aids (21651),1,,耗材,健康,保健护理,家具辅助用品
Consumables,Health,Health Care (16782),Orthopaedic Knee Braces (30963),1,,耗材,健康,保健护理,矫形护膝
Consumables,Health,Health Care (16782),Orthopaedic Shoes (30943),1,,耗材,健康,保健护理,矫形鞋
Consumables,Health,Health Care (16782),Orthopedic Inserts & Soles (30924),2,,耗材,健康,保健护理,矫形鞋垫及内垫
Consumables,Health,Health Care (16782),Orthopedic Leg Walker Boots (31125),3,,耗材,健康,保健护理,矫形助行靴
Consumables,Health,Health Care (16782),Ostomy (30933),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,造口护理用品
Consumables,Health,Health Care (16782),Otoscopes (30732),1,,耗材,健康,保健护理,耳镜
Consumables,Health,Health Care (16782),Oxygen (16861),1,,耗材,健康,保健护理,医用氧气
Consumables,Health,Health Care (16782),PEMF Devices (30795),1,,耗材,健康,保健护理,脉冲电磁场治疗仪
Consumables,Health,Health Care (16782),Pillboxes (16858),1,,耗材,健康,保健护理,药盒
Consumables,Health,Health Care (16782),Red Light Therapy Devices (30854),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,红光理疗仪
Consumables,Health,Health Care (16782),Respiratory Care->COPD Breathing Aids (30855),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,COPD呼吸辅助器
Consumables,Health,Health Care (16782),Respiratory Care->CPAP Accessories (30675),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,CPAP配件
Consumables,Health,Health Care (16782),Respiratory Care->Nebulizers (16860),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,雾化器
Consumables,Health,Health Care (16782),Respiratory Care->Oxygen Concentrators (30864),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,制氧机
Consumables,Health,Health Care (16782),Sanitizing Equipment (30391),1,,耗材,健康,保健护理,消毒设备
Consumables,Health,Health Care (16782),Sexual Health->Condoms (22390),1,,耗材,健康,保健护理,安全套
Consumables,Health,Health Care (16782),"Sexual Health->Creams, Oils & Sprays (30430)",1,,耗材,健康,保健护理,情趣霜、油及喷剂
Consumables,Health,Health Care (16782),Sexual Health->Lubricants (22391),2,,耗材,健康,保健护理,润滑剂
Consumables,Health,Health Care (16782),Sexual Health->Performance Supplements (22392),2,,耗材,健康,保健护理,性功能保健品
Consumables,Health,Health Care (16782),Spiritual Wellness (30672),1,,耗材,健康,保健护理,心灵健康
Consumables,Health,Health Care (16782),Stadiometers (21655),1,,耗材,健康,保健护理,身高仪
Consumables,Health,Health Care (16782),Tape Measures (21653),1,,耗材,健康,保健护理,量带
Consumables,Health,Health Care (16782),TENS Devices (28595),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,TENS设备 (28595)
Consumables,Health,Sanitizers & Wipes (16887),Sanitizers (30723),2,,耗材,健康,消毒剂和湿巾,消毒剂 (30723)
Consumables,Health,Sanitizers & Wipes (16887),Wipes (30724),2,,耗材,健康,消毒剂和湿巾,湿巾 (30724)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Hookah Pipes (22876),1,,耗材,健康,替代吸烟和电子烟,水烟管 (22876)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Accessories (30494),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->配件 (30494)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Coals (22879),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->炭 (22879)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),"Smoking Alternative Accessories->Coil Wires, Wicks & Cotton (29620)",1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->线圈、芯线与棉 (29620)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Replacement Pipes (22877),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->替换管 (22877)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Storage & Cases (30495),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->存储盒与保护套 (30495)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Tips (22880),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->吸嘴 (22880)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Accessories->Tongs (22878),1,,耗材,健康,替代吸烟和电子烟,吸烟替代配件->夹子 (22878)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Devices (30398),1,,耗材,健康,替代吸烟和电子烟,吸烟替代设备 (30398)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Smoking Alternative Refills (30399),1,,耗材,健康,替代吸烟和电子烟,吸烟替代补充装 (30399)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Vaping Devices (22815),1,,耗材,健康,替代吸烟和电子烟,电子烟设备 (22815)
Consumables,Health,Smoking Alternatives & Electronic Cigarettes (16145),Vaping Refills (22816),1,,耗材,健康,替代吸烟和电子烟,电子烟补充装 (22816)
Consumables,Health,Stethoscope Accessories (30762),Stethoscope Accessories (30762),1,,耗材,健康,听诊器配件,听诊器配件 (30762)
Consumables,Health,Stethoscopes (15170),Stethoscopes (15170),1,SAHPRA - Medical Device Certificate,耗材,健康,听诊器,听诊器 (15170)
Consumables,Health,Vision Care (17098),Contact Lens Care->Contact Lens Care Kits (17100),1,,耗材,健康,视力护理,隐形眼镜护理->隐形眼镜护理套装 (17100)
Consumables,Health,Vision Care (17098),Contact Lens Care->Contact Lens Cases (17101),1,,耗材,健康,视力护理,隐形眼镜护理->隐形眼镜盒 (17101)
Consumables,Health,Vision Care (17098),Eye Drops & Lubricants (17104),2,,耗材,健康,视力护理,眼药水与润滑液 (17104)
Consumables,Health,Vision Care (17098),Eyeglasses (17106),1,,耗材,健康,视力护理,眼镜 (17106)
Consumables,Health,Vision Care (17098),Eyewear Accessories->Eyewear Cases & Holders (17108),1,,耗材,健康,视力护理,眼镜配件->眼镜盒与支架 (17108)
Consumables,Health,Vision Care (17098),Eyewear Accessories->Eyewear Lens Cleaning Solutions (17109),1,SAHPRA - Medical Device Certificate,耗材,健康,视力护理,眼镜配件->眼镜清洁液 (17109)
Consumables,Health,Vision Care (17098),Eyewear Accessories->Eyewear Straps & Chains (17110),1,,耗材,健康,视力护理,眼镜配件->眼镜链与挂绳 (17110)
Consumables,Health,Vision Care (17098),Eyewear Accessories->Reading Lenses (30710),1,,耗材,健康,视力护理,眼镜配件->老花镜片 (30710)
Consumables,Health,Wearable Tech (19883),Certified Pre-Owned Wearables (30904),1,,耗材,健康,可穿戴科技,认证二手可穿戴设备 (30904)
Consumables,Health,Wearable Tech (19883),Digital Rings (30865),3,,耗材,健康,可穿戴科技,数字戒指 (30865)
Consumables,Health,Wearable Tech (19883),Pedometers (22426),1,,耗材,健康,可穿戴科技,计步器 (22426)
Consumables,Liquor,Alcoholic Beverages (15803),Beers & Ciders->Beer (20725),1,Liquor License Certificate ,耗材,酒类,酒精饮料,啤酒与苹果酒->啤酒 (20725)
Consumables,Liquor,Alcoholic Beverages (15803),Beers & Ciders->Cider (20724),1,Liquor License Certificate ,耗材,酒类,酒精饮料,啤酒与苹果酒->苹果酒 (20724)
Consumables,Liquor,Alcoholic Beverages (15803),Beers & Ciders->Craft Beer (20722),1,Liquor License Certificate ,耗材,酒类,酒精饮料,啤酒与苹果酒->精酿啤酒 (20722)
Consumables,Liquor,Alcoholic Beverages (15803),Brewing & Distilling Kits (29616),1,,耗材,酒类,酒精饮料,酿造与蒸馏套装 (29616)
Consumables,Liquor,Alcoholic Beverages (15803),Cocktails & Premixes (29593),1,Liquor License Certificate ,耗材,酒类,酒精饮料,鸡尾酒与预调酒 (29593)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Absinthe (15810),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->苦艾酒 (15810)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Brandy (15811),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->白兰地 (15811)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Cane (19715),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->甘蔗酒 (19715)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Cognac (19716),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->干邑 (19716)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Gin (15812),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->金酒 (15812)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Grappa (19717),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->格拉巴酒 (19717)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Liqueurs & Aperitifs (15813),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->利口酒与开胃酒 (15813)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Rum (15814),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->朗姆酒 (15814)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Slivovitz (30528),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->李子白兰地 (30528)
Consumables,Liquor,Alcoholic Beverages (15803),Liquor & Spirits->Tequila (15816),1,Liquor License Certificate ,耗材,酒类,酒精饮料,烈酒->龙舌兰酒 (15816)
